index,erabuilt,numstories,roofshape,fpAreas,occupancy2,fparea,repaircost,constype,occupancy,Lat,Lon
0,NA,NA,Gable,998,Other,,,,,37.86730380000001,-122.42452141999999
1,NA,NA,Hip,4411,Residential,,,,,37.870170718181825,-122.42705018181817
2,NA,NA,Gable,2669,Other,,,,,37.86590688571429,-122.43521675714284
3,NA,2,Hip,8599,Residential,,,,,37.86981550909091,-122.4255108090909
4,NA,2,Hip,10802,Residential,,,,,37.869326593333334,-122.42639508666667
5,NA,1,Hip,3401,Other,,,,,37.86898024285714,-122.42598341428571
6,NA,NA,Gable,3052,Residential,,,,,37.86977383999999,-122.42505043999999
7,NA,NA,Flat,1857,Other,,,,,37.86761196,-122.42460288000002
8,NA,NA,Flat,2357,Other,,,,,37.86754524285715,-122.42431224285714
9,NA,NA,Flat,2424,Residential,,,,,37.86948814,-122.42527412
10,NA,NA,Flat,1280,Residential,,,,,37.85632764,-122.42076941999998
11,NA,NA,Gable,3018,Residential,,,,,37.867344499999994,-122.42500742
12,NA,NA,Hip,8088,,,,,,37.86243216666667,-122.4207614888889
13,NA,NA,Gable,1229,Other,,,,,37.86792304000001,-122.42563467999999
14,NA,NA,Hip,1644,,,,,,37.894170800000005,-122.49721145714287
15,NA,NA,Gable,117,Other,,,,,37.86812236,-122.43480846
16,NA,NA,Gable,244,Residential,,,,,37.86513016,-122.43581237999999
17,NA,NA,Hip,2683,Other,,,,,37.865660319999996,-122.43638188
18,NA,NA,Hip,117,Residential,,,,,37.86798278,-122.43447512
19,NA,NA,Hip,3493,Residential,,,,,37.865292,-122.43572728000001
20,NA,1,Gable,547,Residential,,,,,37.867814983333325,-122.43429450000001
21,NA,1,Hip,502,Other,,,,,37.868353985714286,-122.4347796285714
22,NA,1,Hip,737,Residential,,,,,37.868200200000004,-122.43457294
23,NA,NA,Hip,4343,,,,,,37.86525654,-122.4359923
24,NA,1,Hip,1393,Other,,,,,37.86831174,-122.43454486
25,NA,1,Hip,1706,Other,,,,,37.8677181625,-122.43420765
26,1975,4,Flat,1821,Other,2428.305,615603.55,RM1,COM6,37.87253942,-122.4521833
27,NA,1,Hip,246,Residential,,,,,37.86440308,-122.43264508
28,NA,NA,Hip,400,Residential,,,,,37.86436107777777,-122.43258557777777
29,NA,NA,Gable,4210,Residential,,,,,37.86096532222222,-122.44032496666667
30,NA,NA,Flat,697,Residential,,,,,37.86106672,-122.44090084
31,NA,NA,Gable,180,Residential,,,,,37.8612462,-122.44072077999999
32,NA,NA,Gable,1723,Residential,,,,,37.85986657777778,-122.43993268888887
33,NA,NA,Flat,2953,,,,,,37.85412344545455,-122.42057762727273
34,NA,NA,Hip,1295,,,,,,37.85451984,-122.42097844
35,NA,NA,Hip,408,,,,,,37.85324048,-122.41924528
36,NA,NA,Gable,946,,,,,,37.85509646,-122.4208498
37,NA,NA,Gable,3969,Other,,,,,37.859551339999996,-122.44318238000001
38,NA,NA,Flat,22036,Other,,,,,37.86175093076923,-122.4207542
39,NA,NA,Hip,1146,Residential,,,,,37.860874439999996,-122.42078396000002
40,NA,NA,Gable,6444,Other,,,,,37.86229402,-122.42171014
41,NA,NA,Hip,3815,Other,,,,,37.86504430666667,-122.42343121333333
42,NA,NA,Gable,21761,Residential,,,,,37.86275382222223,-122.42143132222223
43,1969,2,Gable,2014,Residential,2420.0,404926.383,W1,RES1,37.91039818181818,-122.48025125454546
44,1969,1,Gable,2728,Other,1664.0,321026.782,RM1,RES1,37.9102606,-122.48080354444443
45,1969,1,Flat,5677,Residential,5343.0,520955.323,W1,RES1,37.910975066666666,-122.48028567777777
46,1969,1,Hip,4381,,4135.0,537227.254,RM1,RES1,37.91085517692308,-122.48195770000001
47,1969,2,Gable,5933,Residential,6162.0,735591.451,W1,RES1,37.91022572999999,-122.48195089000001
48,1960,1,Gable,9912,Residential,2868.62,732098.738,C1,COM8,37.89883547142857,-122.50070978571428
49,1960,1,Flat,39522,Other,17596.0,2602961.9,RM1,COM2,37.899216290909095,-122.50020420909091
50,1960,1,Gable,1775,Other,1408.0,269380.497,W1,RES1,37.89785708,-122.48937314
51,1964,1,Flat,21722,Residential,22450.0,5165020.29,W1,RES6,37.90086590588235,-122.48083866470589
52,NA,1,Hip,410,Other,,,,,37.86917398,-122.4257896
53,NA,1,Flat,65,Other,,,,,37.868529460000005,-122.43447569999998
54,NA,1,Gable,287,Residential,,,,,37.868434380000004,-122.43449261999999
55,1973,1,Hip,10057,Other,9749.25,2471749.3,W1,COM5,37.876367625,-122.46019362499999
56,1973,1,Hip,6306,Residential,6685.75,1374592.22,C1,COM4,37.87540808000001,-122.45863948000002
57,1969,1,Gable,3375,Residential,3176.5,747693.333,RM1,COM8,37.895071663636365,-122.4973438181818
58,NA,NA,Hip,261,,,,,,37.89406998,-122.49746184
59,1969,1,Gable,1954,,1494.75,328962.199,RM1,RES4,37.8944968,-122.49730328000001
60,NA,NA,Gable,290,,,,,,37.86302322499999,-122.42162744500001
61,NA,NA,Gable,290,Residential,,,,,37.86312825,-122.42184108500003
62,NA,NA,Gable,5308,Other,,,,,37.862044960000006,-122.42240746
63,NA,NA,Gable,5354,Other,,,,,37.86158322,-122.42264392
64,NA,NA,Gable,5256,Other,,,,,37.86053436153846,-122.42218650000001
65,NA,NA,Hip,2484,Residential,,,,,37.86078727142857,-122.42254081428572
66,NA,NA,Hip,2125,,,,,,37.86072415555555,-122.42312085555558
67,NA,NA,Hip,1214,,,,,,37.86033142,-122.42261390000002
68,NA,NA,Gable,1011,,,,,,37.86015458,-122.42233592000002
69,NA,NA,Hip,1248,Residential,,,,,37.85993883333334,-122.42201428888887
70,NA,NA,Hip,2431,Residential,,,,,37.86099351428572,-122.42283911428571
71,NA,NA,Hip,2432,Other,,,,,37.86130175714286,-122.42281495714285
72,NA,NA,Hip,2411,Other,,,,,37.86258339999999,-122.42248806
73,NA,NA,Hip,355,Other,,,,,37.86278696,-122.42277626
74,NA,NA,Gable,835,Other,,,,,37.862735580000006,-122.42272972
75,NA,NA,Hip,176,Other,,,,,37.86288194,-122.42299440000002
76,NA,NA,Gable,3251,Residential,,,,,37.862968844444445,-122.42286169999998
77,NA,NA,Hip,905,Other,,,,,37.86389608,-122.42298983999999
78,NA,NA,Hip,17297,Other,,,,,37.863359744444445,-122.42290587407406
79,NA,NA,Gable,1039,Residential,,,,,37.86290544,-122.4219654
80,1971,1,Gable,12704,Residential,4830.5704,943127.149,C1,COM4,37.88261084117647,-122.45972659411764
81,NA,NA,Gable,1383,Other,,,,,37.88267288333333,-122.45999540000001
82,NA,NA,Gable,1371,Other,,,,,37.88276456,-122.45986192000001
83,NA,NA,Gable,1392,Other,,,,,37.8828577,-122.45973341999999
84,1971,1,Gable,9858,Residential,959.0,221211.581,RM1,RES1,37.88215965294118,-122.46020368235293
85,1971,1,Hip,704,Other,506.0,162239.4,W1,RES1,37.88226262,-122.46032520000001
86,NA,NA,Gable,1313,Other,,,,,37.88232668,-122.46021162
87,1964,2,Flat,2875,Residential,3769.0,536162.87,RM1,RES1,37.89238210769231,-122.48164953076925
88,1964,2,Flat,1452,Residential,3462.0,504004.595,W1,RES1,37.89059469166667,-122.48121917499999
89,1964,1,Gable,1622,Residential,1726.0,329510.14,RM1,RES1,37.89036647692308,-122.48140508461537
90,1964,1,Gable,2557,Other,2392.0,399748.919,W1,RES1,37.890945828571425,-122.4815695
91,1973,1,Flat,33604,Other,5258.25,1125745.81,W1,COM4,37.8749727625,-122.4573730125
92,1969,2,Gable,2304,Residential,3043.0,460700.619,W1,RES1,37.90706048947368,-122.48097885789474
93,1969,1,Gable,2045,Other,1495.0,300885.499,RM1,RES1,37.90729634,-122.48119331999997
94,1969,3,Gable,1815,Other,3383.0,600318.964,W1,RES1,37.907460575,-122.48143755
95,NA,NA,Gable,511,Residential,,,,,37.90767512,-122.48148072000001
96,1969,2,Gable,1786,Residential,3466.0,504436.726,W1,RES1,37.907641954545454,-122.48170850909092
97,1969,2,Gable,10500,Residential,8026.0,869504.736,RM1,RES1,37.90893818846153,-122.48107832307689
98,NA,NA,Flat,1377,,,,,,37.90953788,-122.48242616
99,NA,NA,Hip,116,,,,,,37.90947772,-122.48299416
100,1969,1,Flat,2900,,3600.0,514812.672,RM1,RES1,37.909447351612904,-122.48323956774195
101,1969,2,Flat,4872,Other,6854.0,790400.602,RM1,RES1,37.917724956521745,-122.48661650434785
102,1969,3,Hip,3089,Other,6168.0,764773.724,W1,RES1,37.91748103333333,-122.4870027047619
103,1969,3,Hip,3659,Residential,4856.0,645236.649,W1,RES1,37.917129523076916,-122.48711011923078
104,NA,NA,Gable,1491,,,,,,37.91667483333333,-122.48675903333333
105,1969,3,Flat,3016,,4105.0,585639.701,W1,RES1,37.91654877619048,-122.48695328095239
106,1969,1,Hip,6415,Residential,5632.0,549133.516,RM1,RES1,37.91402172121212,-122.48786709090908
107,1969,1,Hip,3684,Residential,4223.0,530543.27,RM1,RES1,37.913994980645164,-122.48730750645164
108,1969,2,Flat,4346,Residential,4770.0,621859.338,W1,RES1,37.91455129375,-122.48658386249998
109,1969,2,Hip,3633,Residential,4722.0,618364.072,RM1,RES1,37.914180415000004,-122.48649951000002
110,1969,2,Gable,3926,Residential,6665.86,776346.822,W1,RES1,37.91561994,-122.48658161999997
111,1975,1,Gable,2277,Residential,1245.0,274342.502,RM1,RES1,37.89917599230769,-122.50238105384614
112,1975,1,Hip,2373,Residential,1273.0,277423.232,RM1,RES1,37.899150028571434,-122.50257464285713
113,1975,1,Flat,3733,Residential,2972.0,457171.723,RM1,RES1,37.899513616666674,-122.50244545
114,1975,2,Flat,1913,Other,2719.0,430735.889,W1,RES1,37.899443692307685,-122.50273272307689
115,1975,1,Hip,3290,Residential,1958.0,357361.744,RM1,RES1,37.89933121111111,-122.50302951111108
116,1975,1,Gable,2387,Residential,1521.0,303761.95,W1,RES1,37.899822119999996,-122.50290662
117,1975,1,Flat,2059,Residential,2011.0,363053.509,W1,RES1,37.89993541111111,-122.50265526666665
118,1975,2,Gable,2155,Residential,3040.0,460419.333,W1,RES1,37.90020422727273,-122.50247692727275
119,1975,1,Flat,1904,Other,1808.0,340267.948,W1,RES1,37.90043868,-122.502241
120,1975,1,Gable,2992,Residential,2681.0,428927.55,W1,RES1,37.900528153333326,-122.50168835333332
121,1975,2,Hip,3203,Residential,3915.0,550739.868,RM1,RES1,37.900769537500004,-122.50169509375002
122,1975,1,Gable,10403,,8486.0,827405.366,RM1,RES1,37.90085226800001,-122.50290763199999
123,1975,1,Gable,2173,Residential,2269.0,389019.698,RM1,RES1,37.900764200000005,-122.5011796764706
124,1975,1,Gable,2266,Residential,2293.0,391196.862,RM1,RES1,37.90059307777777,-122.50117624444445
125,1975,1,Gable,1979,Residential,1498.0,301221.509,RM1,RES1,37.900416666666665,-122.50118645555555
126,1960,1,Hip,1762,Residential,2166.0,353004.416,RM1,RES1,37.90064465,-122.50065828333332
127,1960,1,Gable,2011,Residential,1266.0,255626.462,W1,RES1,37.900827033333336,-122.50063044444444
128,1960,1,Gable,3102,Residential,2552.0,388666.406,RM1,RES1,37.9005806,-122.50005995384616
129,1960,1,Gable,3257,Residential,2374.0,372192.022,RM1,RES1,37.900766458823526,-122.5002076764706
130,1960,1,Gable,1690,Residential,1006.0,226135.084,W1,RES1,37.90060632727272,-122.49977037272728
131,1960,1,Flat,2111,Residential,1542.0,283824.936,RM1,RES1,37.900558284615386,-122.49956098461539
132,1960,1,Flat,2881,Residential,1566.0,286206.594,W1,RES1,37.900216310000005,-122.49986668000001
133,1960,1,Gable,1770,Residential,1006.0,226135.084,RM1,RES1,37.900256119999995,-122.50009651333333
134,1960,1,Gable,1616,Residential,1006.0,226135.084,W1,RES1,37.90026358461538,-122.50028766153848
135,1960,1,Gable,1592,Residential,1006.0,226135.084,RM1,RES1,37.90030437272727,-122.50049516363637
136,1960,1,Hip,1755,Residential,1006.0,226135.084,W1,RES1,37.900352500000004,-122.50070733636363
137,1960,1,Flat,2649,Residential,1996.0,335429.403,RM1,RES1,37.90018592941177,-122.49967305294116
138,1960,1,Hip,2456,Residential,1906.0,325880.018,RM1,RES1,37.90008092000001,-122.49921276666666
